scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_baseline,10,21822.0,21769.0,0.9975712583631198,53.0,39452.78888888905,485874.97141692584,10.874028817737761,7.216666666666667,-502.6138888889109,-189.2696651534643,10.0,-10.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_fixed,10,21822.0,21768.0,0.9975254330492164,54.0,39955.40277777796,486064.2410820793,11.013065815263996,7.199999999999999,0.0,0.0,0.0,0.0,634892.7244189559,583500.7033193746,32900.0,18.735583687518986
needs1_west-north-avenue,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_needs1_west-north-avenue,10,21822.0,21777.0,0.997937860874347,45.0,40833.16388888889,486539.67703611037,11.250355114723485,7.266666666666667,877.761111110929,475.43595403106883,90.0,-90.0,,,,
needs2_west-fullerton-avenue,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_needs2_west-fullerton-avenue,10,21822.0,21773.0,0.9977545596187334,49.0,40651.45000000033,486127.66443967214,11.202346943462086,7.25,696.0472222223689,63.42335759283742,50.0,-50.0,,,,
needs3_north-western-avenue,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_needs3_north-western-avenue,10,21822.0,21764.0,0.9973421317936028,58.0,38732.61388888917,485874.53024337854,10.677985817558048,7.183333333333334,-1222.78888888879,-189.7108387007611,-40.0,40.0,,,,
needs4_north-damen-avenue,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_needs4_north-damen-avenue,10,21822.0,21775.0,0.9978462102465402,47.0,41192.65833333343,486611.2652111658,11.350445464982778,7.283333333333333,1237.2555555554645,547.0241290865233,70.0,-70.0,,,,
needs5_north-cicero-avenue,fixed,D:\Projects\CitySim\scenarios\humboldt_park\output_needs5_north-cicero-avenue,10,21822.0,21774.0,0.9978003849326368,48.0,39952.97777777774,486255.225731725,11.009362848657421,7.199999999999999,-2.425000000221189,190.98464964568848,60.0,-60.0,,,,
