scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\lake_view\output_baseline,10,26867.0,26867.0,1.0,0.0,32541.022222222167,571936.2112761447,7.267135643478369,6.716666666666668,-39.37500000022192,-1008.0753400176764,0.0,0.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\lake_view\output_fixed,10,26867.0,26867.0,1.0,0.0,32580.39722222239,572944.2866161624,7.275928958697783,6.716666666666668,0.0,0.0,0.0,0.0,442274.5777355866,422992.79391804524,6400.0,67.09262404969456
clean_output,fixed,D:\Projects\CitySim\scenarios\lake_view\output,10,26867.0,26867.0,1.0,0.0,32580.39722222239,572944.2866161624,7.275928958697783,6.716666666666668,0.0,0.0,0.0,0.0,,,,
bike_lane,fixed,D:\Projects\CitySim\scenarios\lake_view\output_bike_lane,10,26867.0,26867.0,1.0,0.0,32866.602777777785,573345.6613377836,7.339845039143436,6.75,286.20555555539613,401.3747216211632,0.0,0.0,2448108.6271496816,19790421.515490945,1092441.6405566493,19.115770015327147
