scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_baseline,10,26095.0,26073.0,0.9991569266142939,22.0,43279.10000000011,553759.6126123447,9.959521343918997,7.133333333333334,-636.5861111108534,-57.29042392154224,20.0,-20.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_fixed,10,26095.0,26071.0,0.9990802835792297,24.0,43915.68611111096,553816.9030362662,10.106789791978315,7.116666666666667,0.0,0.0,0.0,0.0,361932.1586362518,342190.4452779144,9200.0,38.194613617164606
needs1_north-ridge-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_needs1_north-ridge-avenue,10,26095.0,26074.0,0.999195248131826,21.0,43836.04999999992,553831.9899288137,10.087301526424792,7.15,-79.63611111103819,15.086892547435127,30.0,-30.0,,,,
needs2_west-foster-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_needs2_west-foster-avenue,10,26095.0,26075.0,0.9992335696493582,20.0,44441.33888888878,554385.2836932314,10.226194950463407,7.166666666666667,525.6527777778174,568.3806569651933,40.0,-40.0,,,,
needs3_north-clark-street,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_needs3_north-clark-street,10,26095.0,26078.0,0.9993485342019544,17.0,44073.75555555527,553980.5535671652,10.140445330674643,7.133333333333334,158.069444444307,163.65053089894354,70.0,-70.0,,,,
needs4_west-peterson-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_needs4_west-peterson-avenue,10,26095.0,26074.0,0.999195248131826,21.0,44121.17777777745,553815.8404915276,10.152913502595178,7.116666666666667,205.4916666664867,-1.0625447386410087,30.0,-30.0,,,,
needs5_north-western-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_square\output_needs5_north-western-avenue,10,26095.0,26077.0,0.9993102126844223,18.0,43976.63888888918,553895.3511492889,10.118488834349554,7.116666666666667,60.95277777822048,78.44811302272137,60.0,-60.0,,,,
