scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\west_town\output_baseline,10,63349.0,56864.0,0.8976305861181708,6485.0,1095838.9027777733,1551015.5690766033,115.62734624132433,16.799999999999997,-96041.40555556584,-16337.619551804382,-1450.0,1450.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\west_town\output_fixed,10,63349.0,57009.0,0.8999194935989518,6340.0,1191880.3083333392,1567353.1886284077,125.44127857005036,16.95,0.0,0.0,0.0,0.0,805791.0223865126,767221.3809577792,15100.0,51.80936297733637
needs1_north-damen-avenue,fixed,D:\Projects\CitySim\scenarios\west_town\output_needs1_north-damen-avenue,10,63349.0,58392.0,0.9217509352949533,4957.0,1116754.2500000047,1618162.8104370567,114.7507449650637,16.35,-75126.05833333451,50809.62180864904,13830.0,-13830.0,,,,
needs2_west-grand-avenue,fixed,D:\Projects\CitySim\scenarios\west_town\output_needs2_west-grand-avenue,10,63349.0,58546.0,0.9241819128952312,4803.0,1114596.2083333372,1640097.4123618125,114.2277397260274,17.4,-77284.10000000196,72744.22373340488,15370.0,-15370.0,,,,
needs3_south-paulina-street,fixed,D:\Projects\CitySim\scenarios\west_town\output_needs3_south-paulina-street,10,63349.0,57889.0,0.913810794171968,5460.0,1097117.227777772,1589576.0260081063,113.71250784547438,16.766666666666666,-94763.08055556729,22222.83737969864,8800.0,-8800.0,,,,
needs4_north-hoyne-avenue,fixed,D:\Projects\CitySim\scenarios\west_town\output_needs4_north-hoyne-avenue,10,63349.0,56749.0,0.8958152457023789,6600.0,1007983.566666668,1534762.3068778454,106.57282771502581,15.450000000000001,-183896.74166667112,-32590.88175056223,-2600.0,2600.0,,,,
needs5_west-augusta-boulevard,fixed,D:\Projects\CitySim\scenarios\west_town\output_needs5_west-augusta-boulevard,10,63349.0,56190.0,0.8869911127247471,7159.0,1163673.8583333425,1525572.6556907888,124.25775315892508,15.133333333333335,-28206.449999996694,-41780.532937618904,-8190.0,8190.0,,,,
