scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\irving_park\output_baseline,10,23115.0,23115.0,1.0,0.0,28189.72222222243,525640.1303885371,7.317254308169298,6.700000000000001,224.83611111128994,99.21433826629072,0.0,0.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\irving_park\output_fixed,10,23115.0,23115.0,1.0,0.0,27964.88611111114,525540.9160502708,7.258893215084,6.683333333333334,0.0,0.0,0.0,0.0,2131632.6167750065,2028546.229878647,41000.0,50.47673731411334
needs1_west-lawrence-avenue,fixed,D:\Projects\CitySim\scenarios\irving_park\output_needs1_west-lawrence-avenue,10,23115.0,23115.0,1.0,0.0,27956.266666666852,525781.2313588639,7.256655851178889,6.683333333333334,-8.619444444288092,240.31530859309714,0.0,0.0,,,,
needs2_north-kedzie-avenue,fixed,D:\Projects\CitySim\scenarios\irving_park\output_needs2_north-kedzie-avenue,10,23115.0,23115.0,1.0,0.0,28035.486111110862,526502.2021395091,7.277218977575888,6.683333333333334,70.59999999972206,961.2860892383615,0.0,0.0,,,,
needs3_north-pulaski-road,fixed,D:\Projects\CitySim\scenarios\irving_park\output_needs3_north-pulaski-road,10,23115.0,23115.0,1.0,0.0,28035.383333333455,525046.2797264026,7.277192299372702,6.716666666666668,70.49722222231503,-494.6363238681806,0.0,0.0,,,,
needs4_west-irving-park-road,fixed,D:\Projects\CitySim\scenarios\irving_park\output_needs4_west-irving-park-road,10,23115.0,23115.0,1.0,0.0,28009.266666666954,525611.0750715855,7.2704131516331385,6.683333333333334,44.38055555581377,70.1590213146992,0.0,0.0,,,,
needs5_west-addison-street,fixed,D:\Projects\CitySim\scenarios\irving_park\output_needs5_west-addison-street,10,23115.0,23115.0,1.0,0.0,28161.652777777854,526141.1357671237,7.309968274569183,6.716666666666668,196.76666666671372,600.2197168528801,0.0,0.0,,,,
