scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\avondale\output_baseline,10,19464.0,19464.0,1.0,0.0,23306.472222222466,410649.4323152773,7.184485888477874,6.583333333333333,48.10277777794545,50.73495784320403,0.0,0.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\avondale\output_fixed,10,19464.0,19464.0,1.0,0.0,23258.36944444452,410598.6973574341,7.169657658583367,6.550000000000001,0.0,0.0,0.0,0.0,901518.7349259949,843460.9076951407,31800.0,27.52392791494153
needs1_north-western-avenue,fixed,D:\Projects\CitySim\scenarios\avondale\output_needs1_north-western-avenue,10,19464.0,19464.0,1.0,0.0,23388.991666666952,410805.6077507351,7.209923448417592,6.566666666666667,130.62222222243145,206.9103933009901,0.0,0.0,,,,
needs2_west-fullerton-avenue,fixed,D:\Projects\CitySim\scenarios\avondale\output_needs2_west-fullerton-avenue,10,19464.0,19464.0,1.0,0.0,23327.10000000006,410696.2029249189,7.190844636251541,6.566666666666667,68.73055555553947,97.50556748482632,0.0,0.0,,,,
needs3_north-cicero-avenue,fixed,D:\Projects\CitySim\scenarios\avondale\output_needs3_north-cicero-avenue,10,19464.0,19464.0,1.0,0.0,23378.241666666876,410527.6746301563,7.206609638306618,6.550000000000001,119.87222222235505,-71.02272727777017,0.0,0.0,,,,
needs4_north-kedzie-avenue,fixed,D:\Projects\CitySim\scenarios\avondale\output_needs4_north-kedzie-avenue,10,19464.0,19464.0,1.0,0.0,23347.666666666788,411619.59158514254,7.197184545828196,6.566666666666667,89.29722222226701,1020.894227708457,0.0,0.0,,,,
needs5_west-belmont-avenue,fixed,D:\Projects\CitySim\scenarios\avondale\output_needs5_west-belmont-avenue,10,19464.0,19464.0,1.0,0.0,23344.949999999997,410722.60498687497,7.196347102342787,6.566666666666667,86.58055555547617,123.90762944088783,0.0,0.0,,,,
