scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_baseline,10,21192.0,21192.0,1.0,0.0,27349.880555555515,485004.3309572077,7.743454290927395,7.0,-318.9500000002372,115.72417084150948,0.0,0.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_fixed,10,21192.0,21192.0,1.0,0.0,27668.830555555753,484888.6067863662,7.833757235434755,6.966666666666667,0.0,0.0,0.0,0.0,1095530.8128086973,1013922.1483579585,49700.0,21.400848055492123
needs1_north-oak-park-avenue,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_needs1_north-oak-park-avenue,10,21192.0,21192.0,1.0,0.0,27178.18055555556,485603.39492364915,7.694841606895684,6.983333333333334,-490.65000000019427,714.7881372829434,0.0,0.0,,,,
needs2_west-north-avenue,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_needs2_west-north-avenue,10,21192.0,21192.0,1.0,0.0,28189.05833333319,484877.95027042076,7.981047093242733,6.983333333333334,520.2277777774361,-10.656515945447609,0.0,0.0,,,,
needs3_west-belmont-avenue,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_needs3_west-belmont-avenue,10,21192.0,21192.0,1.0,0.0,27291.086111111126,485251.89145390945,7.726808072228514,7.0,-377.7444444446264,363.284667543252,0.0,0.0,,,,
needs4_west-fullerton-avenue,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_needs4_west-fullerton-avenue,10,21192.0,21192.0,1.0,0.0,27259.602777777873,485463.6174739524,7.71789433119416,6.950000000000001,-409.22777777787996,575.0106875862111,0.0,0.0,,,,
needs5_north-kilbourn-avenue,fixed,D:\Projects\CitySim\scenarios\belmont_cragin\output_needs5_north-kilbourn-avenue,10,21192.0,21192.0,1.0,0.0,27423.263888888792,485340.5797641782,7.764230999119164,6.983333333333334,-245.56666666696037,451.9729778119945,0.0,0.0,,,,
