scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_baseline,10,28413.0,27576.0,0.9705416534684828,837.0,116230.7888888894,640631.1018651044,25.28955371820907,7.933333333333333,-1781.091666666529,-66.21331424429081,400.0,-400.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_fixed,10,28413.0,27536.0,0.9691338471826276,877.0,118011.88055555592,640697.3151793487,25.714384200077475,7.916666666666667,0.0,0.0,0.0,0.0,275858.6701316811,261623.95158415637,6200.0,43.19741154583167
needs1_north-western-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_needs1_north-western-avenue,10,28413.0,27716.0,0.9754689754689755,697.0,123712.00833333316,644599.451702055,26.781355534709196,7.983333333333334,5700.127777777234,3902.136522706365,1800.0,-1800.0,,,,
needs2_north-halsted-street,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_needs2_north-halsted-street,10,28413.0,27554.0,0.9697673600112624,859.0,122426.36111111211,640296.1392965036,26.65885775809925,8.0,4414.480555556191,-401.1758828450693,180.0,-180.0,,,,
needs3_west-diversey-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_needs3_west-diversey-avenue,10,28413.0,27423.0,0.9651567944250871,990.0,119588.86388888974,636031.1095701049,26.165378818266905,7.95,1576.9833333338174,-4666.205609243829,-1130.0,1130.0,,,,
needs4_north-ashland-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_needs4_north-ashland-avenue,10,28413.0,27504.0,0.9680076021539437,909.0,116755.49444444591,638531.8924978094,25.470221301144075,7.983333333333334,-1256.3861111100123,-2165.4226815393195,-320.0,320.0,,,,
needs5_west-north-avenue,fixed,D:\Projects\CitySim\scenarios\lincoln_park\output_needs5_west-north-avenue,10,28413.0,27612.0,0.9718086791257523,801.0,116794.72777777816,642413.6480454127,25.379123810903472,7.966666666666667,-1217.1527777777665,1716.33286606404,760.0,-760.0,,,,
