scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_baseline,10,46687.0,46551.0,0.9970869835286054,136.0,103843.54722222283,1099310.0107870027,13.384487622893886,6.916666666666667,-7505.374999999985,670.0929074170999,-450.0,450.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_fixed,10,46687.0,46596.0,0.9980508492728168,91.0,111348.92222222281,1098639.9178795856,14.338001831344608,7.15,0.0,0.0,0.0,0.0,957679.8513481272,923986.2634447837,5800.0,160.3079764559972
needs1_east-illinois-street,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_needs1_east-illinois-street,10,46687.0,46605.0,0.9982436224216591,82.0,106285.21388889005,1098408.1153563065,13.683323320101563,6.950000000000001,-5063.708333332761,-231.80252327909693,90.0,-90.0,,,,
needs2_south-michigan-avenue,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_needs2_south-michigan-avenue,10,46687.0,46625.0,0.9986720071968642,62.0,102121.425000001,1099667.510488753,13.141631099195711,7.050000000000001,-9227.497222221806,1027.5926091673318,290.0,-290.0,,,,
needs3_north-clark-street,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_needs3_north-clark-street,10,46687.0,46559.0,0.9972583374386874,128.0,110466.40833333277,1103524.839934783,14.235667647501021,7.183333333333334,-882.5138888900401,4884.922055197414,-370.0,370.0,,,,
needs4_north-lasalle-drive,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_needs4_north-lasalle-drive,10,46687.0,46472.0,0.9953948636665453,215.0,173395.53055555484,1091708.4352382123,22.38709724852241,6.966666666666667,62046.60833333203,-6931.482641373295,-1240.0,1240.0,,,,
needs5_west-ontario-street,fixed,D:\Projects\CitySim\scenarios\near_north_side\output_needs5_west-ontario-street,10,46687.0,46477.0,0.9955019598603465,210.0,163892.7833333331,1096292.2345999437,21.157921122275532,6.983333333333334,52543.86111111028,-2347.683279641904,-1190.0,1190.0,,,,
